name,industry,symbol
Voltas Ltd.,CONSTRUCTION,VOLTAS
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA
Welspun Corp Ltd.,METALS,WELCORP
Welspun India Ltd.,TEXTILES,WELSPUNIND
Wheels India Ltd.,AUTOMOBILE,WHEELS
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL
Wipro Ltd.,IT,WIPRO
Wockhardt Ltd.,PHARMA,WOCKPHARMA
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL
Zensar Technolgies Ltd.,IT,ZENSARTECH
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL
eClerx Services Ltd.,IT,ECLERX
